Location,Area,Bedrooms,Age,Bathrooms,Parking,PropertyType,Price
Suburbs,1221,2,0,3,No,Flat,7154355
Suburbs,2970,5,21,2,Yes,Flat,16009635
City Center,669,3,7,3,No,Row House,7375965
Suburbs,1718,5,5,4,Yes,Bungalow,14412670
Suburbs,2591,2,28,4,No,Bungalow,15537811
Downtown,618,3,4,2,No,Row House,7506432
City Center,638,3,1,3,Yes,Bungalow,8550327
City Center,668,1,10,4,No,Row House,6299088
Downtown,1628,1,19,2,Yes,Flat,9448689
Downtown,1663,1,7,1,No,Flat,9462123
City Center,2913,3,30,1,No,Bungalow,16518075
Downtown,598,3,13,3,No,Flat,5932463
Suburbs,2288,5,19,1,No,Flat,12330962
Suburbs,1834,5,12,3,No,Bungalow,14092185
Suburbs,702,2,11,1,No,Row House,5186645
Downtown,592,3,24,1,Yes,Bungalow,7890885
Suburbs,2540,1,13,1,Yes,Flat,11997703
City Center,1945,3,22,2,No,Bungalow,12768735
Suburbs,1942,1,11,2,No,Flat,9679400
City Center,1264,2,21,4,Yes,Bungalow,10698742
City Center,1362,5,24,4,No,Bungalow,11784887
City Center,1695,3,17,1,Yes,Row House,10375297
City Center,1012,3,0,1,Yes,Row House,8426400
City Center,2656,5,17,4,No,Row House,16144996
City Center,2865,4,21,3,No,Row House,16674099
Suburbs,2415,3,2,3,No,Flat,13715499
Suburbs,714,2,8,4,Yes,Row House,6695656
City Center,1436,5,20,4,Yes,Bungalow,13093991
Suburbs,2236,1,5,2,No,Bungalow,13493922
Suburbs,1117,2,15,3,Yes,Row House,8063359
City Center,1405,3,15,4,Yes,Row House,10700766
City Center,2404,3,28,1,Yes,Flat,12180357
City Center,1737,2,7,4,Yes,Row House,12036874
Downtown,1190,1,19,1,Yes,Row House,8246492
Downtown,1878,4,28,1,Yes,Bungalow,13267946
City Center,1777,1,21,2,Yes,Bungalow,11386058
City Center,2111,1,1,4,Yes,Flat,12588966
City Center,2617,5,3,3,Yes,Flat,16090705
Downtown,819,4,13,2,No,Flat,7445359
Downtown,2596,2,8,2,No,Row House,15241383
Suburbs,1072,3,18,1,No,Flat,5553570
City Center,2279,4,10,2,Yes,Row House,14059352
Suburbs,1543,1,28,2,Yes,Row House,8335178
Suburbs,896,4,12,1,Yes,Bungalow,8711893
Suburbs,1097,2,6,1,No,Flat,6216712
City Center,2047,3,18,2,No,Bungalow,13705824
City Center,2755,2,30,1,No,Flat,13114326
Suburbs,2450,1,20,1,No,Flat,10772615
Suburbs,1705,3,8,1,No,Bungalow,11751406
Downtown,1833,3,4,3,No,Bungalow,13984754
Downtown,2754,1,24,3,Yes,Row House,15656497
City Center,1756,3,3,3,Yes,Row House,12075802
Suburbs,2887,1,28,3,No,Flat,13607826
City Center,1041,2,25,2,Yes,Row House,7326782
Suburbs,1048,4,28,1,Yes,Row House,7282309
City Center,2106,1,20,2,No,Bungalow,13451604
Suburbs,2487,5,9,4,No,Flat,14406017
Downtown,2373,4,27,4,No,Flat,14111982
Downtown,570,3,26,4,No,Flat,5512049
Suburbs,2596,4,21,4,Yes,Bungalow,17053020
Downtown,1281,1,9,4,Yes,Flat,8384235
Suburbs,2621,2,12,3,Yes,Flat,13362648
City Center,729,1,15,2,Yes,Row House,6044979
Downtown,919,1,20,1,No,Flat,5127317
City Center,1731,4,23,4,Yes,Flat,10550954
Suburbs,1463,2,18,4,Yes,Bungalow,10854431
Suburbs,1759,5,0,3,Yes,Flat,11689074
Suburbs,1215,5,2,2,Yes,Bungalow,11296505
Suburbs,2185,3,17,2,Yes,Bungalow,14283443
City Center,2918,2,11,3,Yes,Bungalow,17927692
Downtown,2369,2,16,4,No,Flat,13176551
City Center,2883,1,22,1,No,Bungalow,15957039
Downtown,602,3,10,3,Yes,Bungalow,9178113
Suburbs,2194,3,18,3,No,Bungalow,14199419
Downtown,784,2,23,1,Yes,Flat,5440570
Suburbs,902,1,4,3,Yes,Flat,5756985
Suburbs,1445,3,6,1,No,Bungalow,11148907
Suburbs,969,5,22,2,Yes,Row House,8034838
Downtown,1197,4,6,3,Yes,Flat,9523504
City Center,1504,5,8,1,Yes,Bungalow,13178178
Suburbs,1653,5,21,3,Yes,Bungalow,12391356
City Center,2305,5,26,4,Yes,Row House,14490774
Downtown,2884,1,21,1,No,Flat,14091072
Suburbs,2809,5,7,4,No,Flat,16041780
City Center,971,5,12,3,Yes,Flat,8759492
Suburbs,2279,5,5,1,Yes,Flat,13010749
Suburbs,1478,1,10,2,Yes,Flat,8118600
Suburbs,2620,3,15,4,No,Bungalow,16720127
Downtown,2435,5,7,4,Yes,Bungalow,17977593
Suburbs,1443,2,15,1,Yes,Flat,7188110
Suburbs,2576,5,23,3,No,Bungalow,16201918
Downtown,962,3,20,4,No,Row House,8548571
Suburbs,1098,5,5,3,Yes,Bungalow,10703975
Downtown,1724,2,4,4,Yes,Row House,12651677
Suburbs,687,4,27,1,Yes,Bungalow,7585076
City Center,613,2,17,3,No,Bungalow,6732362
Suburbs,2842,3,20,4,No,Row House,15706922
City Center,2630,3,26,3,Yes,Flat,13600465
Suburbs,2277,1,26,4,Yes,Row House,12258067
City Center,808,1,25,2,Yes,Bungalow,6787156
Downtown,1835,1,11,1,No,Row House,10940807
Suburbs,1468,3,15,1,Yes,Row House,8818154
Downtown,2257,1,11,2,Yes,Flat,12805028
Suburbs,2076,2,9,1,Yes,Flat,11087900
Downtown,1423,3,25,2,No,Bungalow,11247509
Suburbs,718,1,17,3,Yes,Flat,4633371
City Center,1376,2,13,3,Yes,Bungalow,10842156
Suburbs,2972,4,26,3,Yes,Row House,16408627
City Center,1202,4,8,4,Yes,Row House,10071762
Downtown,2989,4,18,1,Yes,Flat,16570265
Suburbs,1855,2,4,4,Yes,Row House,12032529
Suburbs,1460,2,18,1,Yes,Flat,7481450
Downtown,2776,3,22,2,No,Bungalow,17689226
Downtown,2366,3,19,4,Yes,Row House,14946096
Suburbs,2296,3,23,4,Yes,Bungalow,14937990
Downtown,1534,5,24,4,No,Row House,11242809
Downtown,938,5,9,2,Yes,Flat,8671894
Downtown,748,5,5,1,No,Row House,8018064
City Center,1156,2,2,1,No,Row House,8060347
Downtown,2864,2,26,3,Yes,Bungalow,17178783
Suburbs,671,2,29,3,Yes,Row House,4611701
City Center,1241,1,7,1,No,Row House,7762695
City Center,1252,3,5,2,Yes,Bungalow,11345080
Downtown,2732,1,1,3,Yes,Flat,14838979
Downtown,1545,4,6,3,No,Bungalow,13026837
Downtown,1742,1,18,3,Yes,Row House,11334241
Suburbs,2214,1,10,3,Yes,Flat,11373841
City Center,622,4,16,4,Yes,Row House,7207088
Suburbs,2883,5,14,3,Yes,Row House,17023230
City Center,999,4,11,1,Yes,Bungalow,10240037
Suburbs,944,2,10,2,Yes,Row House,6950782
Suburbs,1570,1,27,2,No,Flat,6598843
Downtown,2210,5,21,1,No,Flat,12893473
Downtown,1639,4,5,4,Yes,Row House,13292445
Downtown,847,1,9,3,No,Flat,6460831
Downtown,2002,1,15,2,Yes,Bungalow,13332228
Suburbs,2271,1,7,1,Yes,Flat,11349528
Suburbs,2446,4,27,1,No,Flat,11913064
Downtown,2004,5,13,1,Yes,Flat,12588663
Suburbs,2543,3,6,1,Yes,Bungalow,15861616
Downtown,2279,5,0,3,No,Flat,15113473
City Center,1362,3,27,2,Yes,Bungalow,10646801
Suburbs,981,4,30,2,Yes,Flat,5790995
City Center,1295,5,12,2,Yes,Flat,9372590
City Center,2900,1,10,3,No,Flat,14666180
City Center,1530,3,16,4,No,Row House,10267656
City Center,1199,4,1,4,Yes,Flat,9245398
Downtown,1299,2,26,3,No,Bungalow,10183450
City Center,792,4,0,1,Yes,Bungalow,9719350
Downtown,778,4,13,1,Yes,Row House,8195788
Suburbs,506,4,9,4,No,Bungalow,7354027
Suburbs,2495,2,17,1,Yes,Bungalow,14469538
Downtown,1607,5,30,1,No,Flat,10035356
City Center,2633,3,23,4,No,Row House,15488160
Suburbs,1996,4,29,2,Yes,Flat,10909236
Suburbs,1669,2,21,1,Yes,Row House,9546078
Suburbs,1431,4,8,3,No,Flat,9128513
City Center,1445,3,4,3,No,Flat,9540077
City Center,2680,2,18,4,Yes,Row House,15375092
City Center,622,5,17,4,Yes,Row House,7268407
Downtown,1815,3,27,3,No,Row House,11596071
City Center,2283,4,11,2,No,Row House,13741915
City Center,975,5,22,4,No,Row House,8509193
Downtown,2413,2,11,4,No,Flat,14248849
Downtown,2376,4,17,1,Yes,Bungalow,16819789
City Center,1372,1,30,1,Yes,Bungalow,8860528
City Center,2345,4,9,1,Yes,Flat,13577006
City Center,1533,5,6,2,No,Flat,10641662
Downtown,1642,4,22,4,Yes,Bungalow,13430346
Suburbs,852,2,17,3,Yes,Bungalow,7569170
Suburbs,641,3,26,2,Yes,Row House,5678115
Suburbs,2557,5,26,1,Yes,Flat,13084089
Suburbs,969,4,12,3,No,Bungalow,8916271
Downtown,2598,3,7,4,No,Bungalow,17671975
City Center,1376,3,25,2,Yes,Bungalow,10834875
City Center,1652,4,21,1,No,Bungalow,12350945
City Center,606,2,6,3,Yes,Flat,5417010
Suburbs,1051,3,26,1,Yes,Row House,6621834
City Center,2701,1,3,4,Yes,Bungalow,16968744
Suburbs,2591,1,7,2,Yes,Flat,13258832
Suburbs,1787,4,15,1,Yes,Bungalow,12686611
Suburbs,2439,2,13,4,Yes,Row House,14137200
Downtown,1341,3,2,1,No,Flat,9521964
Suburbs,652,5,30,1,Yes,Flat,4794941
City Center,2393,5,1,3,No,Flat,15135341
Downtown,1854,5,4,4,No,Flat,13254818
City Center,545,1,20,3,Yes,Bungalow,6961252
City Center,508,5,19,2,Yes,Row House,6482553
Suburbs,2133,4,15,3,No,Flat,12211529
City Center,2264,1,14,2,No,Bungalow,13769606
City Center,2991,2,26,2,No,Row House,15424653
City Center,2800,5,26,1,Yes,Bungalow,17514022
Suburbs,2848,5,6,4,No,Bungalow,18353794
Downtown,916,5,11,2,Yes,Row House,9200975
Downtown,2789,5,13,1,Yes,Flat,16558621
City Center,2013,3,6,1,No,Row House,12928065
City Center,542,5,14,4,No,Row House,7472844
City Center,1332,3,2,1,No,Flat,9140362
Suburbs,2436,1,6,3,No,Bungalow,14579498
Downtown,2827,5,9,2,Yes,Bungalow,19346906
Suburbs,1972,4,11,1,No,Flat,10661596
Downtown,1073,2,5,4,No,Row House,8902893
Suburbs,1067,3,14,3,No,Bungalow,9044259
City Center,2005,4,22,3,Yes,Row House,13162556
City Center,2550,1,11,2,No,Bungalow,15046635
City Center,1637,1,21,4,Yes,Flat,9119755
Downtown,1008,5,7,4,Yes,Row House,10632501
Suburbs,1264,2,0,2,Yes,Flat,7680972
Downtown,1553,3,9,1,Yes,Row House,11459180
Downtown,911,2,22,3,No,Row House,7212617
Downtown,618,4,10,4,Yes,Bungalow,9863087
Suburbs,2027,2,15,3,Yes,Row House,11643868
Suburbs,2502,5,18,2,No,Bungalow,15952952
Downtown,965,5,26,4,Yes,Flat,8463621
Downtown,1260,3,0,3,Yes,Flat,9588141
Suburbs,2700,2,6,2,Yes,Flat,13465017
City Center,2964,4,27,1,Yes,Row House,16803820
Suburbs,971,5,11,1,No,Flat,6730292
Downtown,2123,5,16,3,No,Bungalow,15809179
Downtown,1090,1,15,4,No,Flat,7494666
City Center,2310,3,20,2,No,Bungalow,14734736
Downtown,1308,3,1,1,No,Flat,8852842
City Center,2369,5,7,4,Yes,Row House,15876592
Suburbs,2987,5,6,2,Yes,Flat,16527532
Downtown,2264,1,9,4,Yes,Flat,12611944
Suburbs,2391,2,30,2,No,Row House,11778849
City Center,2731,5,8,4,No,Row House,17259095
Suburbs,2286,2,0,4,No,Flat,12206269
Downtown,2768,3,13,1,No,Flat,15491886
